TTOO,CREATED_SUNDAY,CREATED_SUNDAY_CANCEL_1_HOUR,CREATED_SUNDAY_CANCEL_24_HOUR,CREATED_MONDAY,CREATED_MONDAY_CANCEL_1_HOUR,CREATED_MONDAY_CANCEL_24_HOUR,CREATED_TUESDAY,CREATED_TUEDAY_CANCEL_1_HOUR,CREATED_TUSDAY_CANCEL_24_HOUR,CREATED_WEDNESDAY,CREATED_WEDNES_CANCEL_1_HOUR,CREATED_WEDNES_CANCEL_24_HOUR,CREATED_THURSDAY,CREATED_THURSDAY_CANCEL_1_HOUR,CREATED_THURS_CANCEL_24_HOUR,CREATED_FRIDAY,CREATED_FRIDAY_CANCEL_1_HOUR,CREATED_FRIDAY_CANCEL_24_HOUR,CREATED_SATURDAY,CREATED_SATURDAY_CANCEL_1_HOUR,CREATED_SATUR_CANCEL_24_HOUR
2597,0,0,0,36,15,36,36,15,35,26,14,24,32,22,32,23,7,15,2,0,0
2625,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2637,0,0,0,0,0,0,4,0,0,2,0,0,3,0,0,4,2,2,1,0,0
2649,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0
2658,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0
2662,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2666,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2680,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2687,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,3,0,0
2691,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2695,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2709,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2714,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
2717,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2720,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2760,0,0,0,0,0,0,0,0,0,0,0,0,7,1,3,1,0,0,1,0,0
2762,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,1,0,0
2778,0,0,0,8,0,1,10,2,2,12,1,1,5,1,3,4,1,2,4,0,0
2781,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2808,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0
2815,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2827,0,0,0,3,1,2,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0
2856,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
